MODULE                                                                  LICENSE               SOURCE
--------------------------------------------------------------------------------------------------------
dario.cat/mergo                                                         BSD-3-Clause          LICENSE
github.com/Microsoft/go-winio                                           MIT                   LICENSE
github.com/ProtonMail/go-crypto                                         BSD-3-Clause          LICENSE
github.com/agext/levenshtein                                            Apache-2.0            LICENSE
github.com/apparentlymart/go-textseg/v15                                Apache-2.0            LICENSE
github.com/bufbuild/protocompile                                        Apache-2.0            LICENSE
github.com/cespare/xxhash/v2                                            MIT                   LICENSE.txt
github.com/cloudflare/circl                                             BSD-3-Clause          LICENSE
github.com/cyphar/filepath-securejoin                                   MPL-2.0               COPYING.md
github.com/davecgh/go-spew                                              ISC                   LICENSE
github.com/emirpasic/gods                                               BSD-2-Clause          LICENSE
github.com/fatih/color                                                  MIT                   LICENSE.md
github.com/go-git/gcfg                                                  BSD-3-Clause          LICENSE
github.com/go-git/go-billy/v5                                           Apache-2.0            LICENSE
github.com/go-git/go-git/v5                                             Apache-2.0            LICENSE
github.com/go-logr/logr                                                 Apache-2.0            LICENSE
github.com/go-logr/stdr                                                 Apache-2.0            LICENSE
github.com/go-test/deep                                                 MIT                   LICENSE
github.com/golang/groupcache                                            Apache-2.0            LICENSE
github.com/golang/protobuf                                              BSD-3-Clause          LICENSE
github.com/google/go-cmp                                                BSD-3-Clause          LICENSE
github.com/google/uuid                                                  BSD-3-Clause          LICENSE
github.com/hashicorp/errwrap                                            MPL-2.0               LICENSE
github.com/hashicorp/go-checkpoint                                      MPL-2.0               LICENSE
github.com/hashicorp/go-cleanhttp                                       MPL-2.0               LICENSE
github.com/hashicorp/go-cty                                             MIT                   LICENSE
github.com/hashicorp/go-hclog                                           MIT                   LICENSE
github.com/hashicorp/go-multierror                                      MPL-2.0               LICENSE
github.com/hashicorp/go-plugin                                          MPL-2.0               LICENSE
github.com/hashicorp/go-retryablehttp                                   MPL-2.0               LICENSE
github.com/hashicorp/go-uuid                                            MPL-2.0               LICENSE
github.com/hashicorp/go-version                                         MPL-2.0               LICENSE
github.com/hashicorp/hc-install                                         MPL-2.0               LICENSE
github.com/hashicorp/hcl/v2                                             MPL-2.0               LICENSE
github.com/hashicorp/logutils                                           MPL-2.0               LICENSE
github.com/hashicorp/terraform-exec                                     MPL-2.0               LICENSE
github.com/hashicorp/terraform-json                                     MPL-2.0               LICENSE
github.com/hashicorp/terraform-plugin-go                                MPL-2.0               LICENSE
github.com/hashicorp/terraform-plugin-log                               MPL-2.0               LICENSE
github.com/hashicorp/terraform-plugin-sdk/v2                            MPL-2.0               LICENSE
github.com/hashicorp/terraform-registry-address                         MPL-2.0               LICENSE
github.com/hashicorp/terraform-svchost                                  MPL-2.0               LICENSE
github.com/hashicorp/yamux                                              MPL-2.0               LICENSE
github.com/jbenet/go-context                                            MIT                   LICENSE
github.com/jhump/protoreflect                                           Apache-2.0            LICENSE
github.com/kevinburke/ssh_config                                        MIT                   LICENSE
github.com/kr/pretty                                                    MIT                   LICENSE
github.com/kr/text                                                      MIT                   LICENSE
github.com/mattn/go-colorable                                           MIT                   LICENSE
github.com/mattn/go-isatty                                              MIT                   LICENSE
github.com/mitchellh/copystructure                                      MIT                   LICENSE
github.com/mitchellh/go-testing-interface                               MIT                   LICENSE
github.com/mitchellh/go-wordwrap                                        MIT                   LICENSE.md
github.com/mitchellh/mapstructure                                       MIT                   LICENSE
github.com/mitchellh/reflectwalk                                        MIT                   LICENSE
github.com/oklog/run                                                    Apache-2.0            LICENSE
github.com/pjbgf/sha1cd                                                 Apache-2.0            LICENSE
github.com/pmezard/go-difflib                                           BSD-2-Clause          LICENSE
github.com/rogpeppe/go-internal                                         BSD-3-Clause          LICENSE
github.com/sergi/go-diff                                                MIT                   LICENSE
github.com/skeema/knownhosts                                            Apache-2.0            LICENSE
github.com/stretchr/testify                                             MIT                   LICENSE
github.com/tailscale/hujson                                             BSD-3-Clause          LICENSE
github.com/vmihailenco/msgpack                                          BSD-2-Clause          LICENSE
github.com/vmihailenco/msgpack/v5                                       BSD-2-Clause          LICENSE
github.com/vmihailenco/tagparser/v2                                     BSD-2-Clause          LICENSE
github.com/xanzy/ssh-agent                                              Apache-2.0            LICENSE
github.com/zclconf/go-cty                                               MIT                   LICENSE
github.com/zclconf/go-cty-debug                                         MIT                   LICENSE
go.opentelemetry.io/auto/sdk                                            Apache-2.0            LICENSE
go.opentelemetry.io/otel                                                Apache-2.0            LICENSE
go.opentelemetry.io/otel/metric                                         Apache-2.0            LICENSE
go.opentelemetry.io/otel/sdk                                            Apache-2.0            LICENSE
go.opentelemetry.io/otel/sdk/metric                                     Apache-2.0            LICENSE
go.opentelemetry.io/otel/trace                                          Apache-2.0            LICENSE
golang.org/x/crypto                                                     BSD-3-Clause          LICENSE
golang.org/x/mod                                                        BSD-3-Clause          LICENSE
golang.org/x/net                                                        BSD-3-Clause          LICENSE
golang.org/x/oauth2                                                     BSD-3-Clause          LICENSE
golang.org/x/sync                                                       BSD-3-Clause          LICENSE
golang.org/x/sys                                                        BSD-3-Clause          LICENSE
golang.org/x/telemetry                                                  BSD-3-Clause          LICENSE
golang.org/x/text                                                       BSD-3-Clause          LICENSE
golang.org/x/tools                                                      BSD-3-Clause          LICENSE
gonum.org/v1/gonum                                                      BSD-3-Clause          LICENSE
google.golang.org/appengine                                             Apache-2.0            LICENSE
google.golang.org/genproto/googleapis/rpc                               Apache-2.0            LICENSE
google.golang.org/grpc                                                  Apache-2.0            LICENSE
google.golang.org/protobuf                                              BSD-3-Clause          LICENSE
gopkg.in/check.v1                                                       BSD-2-Clause          LICENSE
gopkg.in/warnings.v0                                                    BSD-2-Clause          LICENSE
gopkg.in/yaml.v3                                                        Apache-2.0            LICENSE
tailscale.com/client/tailscale/v2                                       MIT                   LICENSE

---
Summary:
  Apache-2.0            23
  BSD-2-Clause          7
  BSD-3-Clause          20
  ISC                   1
  MIT                   22
  MPL-2.0               20

RESULT: PASS — no GPL/AGPL/SSPL/Commons-Clause dependencies detected.
